0,4162,3807,8706,9262,10803,5357,2575,4941,4917,3345,9416,7716,638,3614,3891,2588,3597,7263,6248,5710,1217,1760,2015,11394,15232,2682,16724,16636,1832,5021,4612,5508,5911,1726,1604,7790,10223,17302,2958,3756,3748,4239,2850,9702,2555,3027,7560,4835,2959,2474,1199,3459,3527,3032,1194,3025,1710,7002,4636,7504,6442,15126,13857,4339,2583,3715,6023,6535
4162,0,956,11740,12730,14184,8598,1605,7565,7205,4953,13056,11436,3906,650,454,4108,6048,3105,2177,1802,4383,3755,3329,14569,18652,2415,20170,20023,5345,8808,8227,8245,8528,2670,2620,10841,13532,20781,3227,7003,7247,7210,5733,12828,5875,5002,11429,8762,1228,2200,4634,7232,6402,2018,3299,6499,3956,10511,8016,10504,9327,18381,17231,5987,3072,567,9834,10220
3807,956,0,10890,11949,13379,7813,1319,6708,6319,4068,12313,10727,3426,1174,1206,3271,5208,3600,2490,2697,3780,3046,2585,13726,17839,1595,19360,19201,4716,8145,7525,7391,7655,2135,2204,10001,12715,19976,2328,6250,6538,6407,4967,11985,5177,4153,10769,8150,1295,1494,4050,6594,5607,1152,3184,5807,3253,9755,7266,9658,8478,17539,16413,5072,2230,514,9166,9511
8706,11740,10890,0,1928,2719,3351,10366,4182,4622,6837,2810,2884,8466,11488,11720,7632,5692,14261,13074,13541,7751,8080,8447,2839,7022,9326,8541,8346,6892,4276,4276,3499,3265,9292,9508,919,2006,9174,8571,4965,4980,4587,6103,1108,6186,6741,3704,4819,10911,9559,7611,5439,5393,9743,9867,5682,7904,2279,4085,1238,2413,6651,5586,5962,8671,11172,3779,3081
9262,12730,11949,1928,0,1566,4137,11250,5404,5956,8013,904,1877,9147,12398,12649,8689,6783,15447,14266,14514,8488,8982,9401,2434,5975,10356,7477,7376,7550,4323,4650,4754,4663,10147,10313,2343,1160,8072,9692,5734,5564,5547,6997,1514,6912,7834,2576,4708,11781,10530,8297,5811,6342,10798,10454,6321,8787,2261,4730,2676,3730,5900,4597,7303,9722,12168,3461,2805
10803,14184,13379,2719,1566,0,5592,12732,6733,7237,9383,1859,3389,10669,13875,14122,10108,8179,16832,15647,15977,9997,10452,10857,1131,4469,11791,5986,5855,9070,5888,6192,6059,5895,11633,11813,3470,713,6598,11092,7217,7084,6976,8459,1693,8415,9236,3996,6272,13268,11985,9814,7362,7783,12226,11994,7837,10262,3803,6229,3825,4984,4337,3062,8590,11148,13620,5021,4371
5357,8598,7813,3351,4137,5592,0,7141,1545,2181,3928,4547,3125,5137,8283,8529,4555,2678,11323,10145,10387,4437,4860,5269,6070,10062,6219,11577,11443,3549,1675,1175,1188,1497,6044,6233,2437,4957,12184,5567,1639,1638,1419,2867,4355,2857,3714,3476,2254,7678,6398,4279,2179,2205,6662,6523,2332,4670,1987,752,2169,1305,9850,8649,3394,5587,8035,2128,2023
2575,1605,1319,10366,11250,12732,7141,0,6236,5954,3759,11536,9893,2302,1151,1413,2829,4706,4691,3678,3291,2812,2288,1934,13173,17201,1320,18715,18584,3777,7242,6688,6904,7224,1106,1016,9455,12095,19318,2205,5517,5718,5788,4280,11436,4349,3709,9857,7174,548,936,3051,5659,4978,1206,1864,4962,2472,9010,6521,9128,7967,16975,15789,4863,1900,1141,8267,8680
4941,7565,6708,4182,5404,6733,1545,6236,0,635,2659,5936,4634,4556,7338,7562,3457,1530,10103,8917,9366,3818,3975,4303,7020,11164,5150,12686,12511,3145,2983,2263,683,997,5194,5442,3301,6049,13310,4390,1494,1944,854,2106,5281,2436,2563,5021,3466,6784,5397,3752,2656,1414,5562,6002,2218,3818,3440,1618,2954,1772,10833,9731,1912,4493,6998,3638,3567
4917,7205,6319,4622,5956,7237,2181,5954,635,0,2253,6522,5258,4468,7024,7235,3131,1333,9639,8453,9002,3737,3752,4026,7458,11637,4799,13158,12968,3202,3581,2842,1204,1357,4956,5230,3775,6542,13787,3991,1863,2379,1268,2079,5729,2545,2246,5655,4037,6501,5079,3719,3075,1499,5189,5908,2481,3618,4053,2207,3421,2254,11263,10202,1353,4140,6641,4268,4201
3345,4953,4068,6837,8013,9383,3928,3759,2659,2253,0,8473,7012,2752,4792,4995,949,1253,7449,6264,6749,2159,1746,1880,9675,13822,2553,15344,15170,2251,4722,3983,3342,3589,2845,3156,5960,8704,15967,1740,2601,3068,2518,1496,7938,2074,417,7223,4949,4298,2854,2302,3468,1826,2936,4067,2555,1694,5915,3538,5613,4430,13487,12390,1119,1898,4390,5659,5832
9416,13056,12313,2810,904,1859,4547,11536,5936,6522,8473,0,1719,9361,12687,12945,9083,7225,15856,14682,14820,8738,9301,9739,2935,5887,10719,7343,7298,7781,4399,4854,5321,5288,10430,10571,3107,1783,7903,10105,6063,5818,5965,7347,2385,7188,8258,2182,4683,12055,10864,8526,5961,6731,11170,10608,6574,9100,2566,5048,3413,4363,5983,4598,7848,10102,12500,3431,2882
7716,11436,10727,2884,1877,3389,3125,9893,4634,5258,7012,1719,0,7686,11044,11306,7543,5760,14298,13134,13184,7085,7692,8142,4311,7604,9138,9062,9015,6122,2695,3209,4106,4192,8789,8915,2632,3034,9620,8575,4497,4192,4497,5781,3119,5562,6757,821,2964,10404,9258,6862,4273,5214,9594,8906,4938,7487,1239,3494,2797,3353,7661,6297,6517,8540,10887,1712,1217
638,3906,3426,8466,9147,10669,5137,2302,4556,4468,2752,9361,7686,0,3419,3692,1959,3135,6970,5907,5558,739,1123,1391,11205,15122,2146,16624,16519,1599,5004,4513,5161,5545,1291,1286,7547,10065,17213,2337,3503,3585,3919,2451,9491,2281,2461,7598,4893,2763,2000,858,3416,3158,2535,1446,2832,1085,6887,4448,7245,6143,14969,13730,3784,1973,3411,6025,6483
3614,650,1174,11488,12398,13875,8283,1151,7338,7024,4792,12687,11044,3419,0,277,3894,5809,3701,2820,2144,3960,3424,3041,14303,18345,2247,19860,19726,4925,8388,7839,8012,8318,2257,2143,10580,13235,20464,3122,6664,6869,6920,5419,12564,5500,4787,11000,8308,659,1945,4194,6803,6109,1935,2685,6113,3614,10160,7670,10250,9082,18109,16931,5869,2895,663,9413,9830
3891,454,1206,11720,12649,14122,8529,1413,7562,7235,4995,12945,11306,3692,277,0,4110,6035,3434,2580,1878,4225,3669,3275,14539,18591,2442,20107,19970,5190,8654,8100,8238,8538,2517,2413,10815,13478,20712,3303,6915,7127,7160,5663,12800,5757,5005,11268,8579,935,2164,4462,7070,6349,2100,2954,6373,3862,10414,7922,10482,9312,18347,17175,6060,3097,703,9680,10092
2588,4108,3271,7632,8689,10108,4555,2829,3457,3131,949,9083,7543,1959,3894,4110,0,1941,6773,5599,5909,1524,860,932,10463,14568,1694,16089,15932,2006,5076,4390,4137,4428,1896,2209,6737,9445,16705,1035,3046,3413,3142,1770,8723,2152,895,7665,5199,3374,1949,1749,3641,2353,2119,3172,2753,878,6518,4051,6397,5219,14277,13142,2068,1041,3541,6069,6336
3597,6048,5208,5692,6783,8179,2678,4706,1530,1333,1253,7225,5760,3135,5809,6035,1941,0,8665,7483,7849,2407,2454,2773,8522,12633,3635,14154,13993,1958,3538,2782,2203,2519,3671,3929,4795,7510,14773,2914,1418,1937,1265,820,6781,1406,1058,5988,3827,5254,3871,2402,2468,643,4058,4574,1621,2307,4664,2298,4456,3280,12335,11205,1144,2982,5480,4440,4585
7263,3105,3600,14261,15447,16832,11323,4691,10103,9639,7449,15856,14298,6970,3701,3434,6773,8665,0,1187,2104,7374,6641,6174,17097,21266,5166,22788,22606,8315,11740,11107,10783,10996,5695,5695,13400,16152,23414,5757,9805,10120,9905,8519,15367,8767,7614,14362,11749,4329,5093,7641,10193,9125,4708,6387,9397,6849,13291,10817,13049,11869,20900,19833,8310,5759,3560,12758,13084
6248,2177,2490,13074,14266,15647,10145,3678,8917,8453,6264,14682,13134,5907,2820,2580,5599,7483,1187,0,1933,6266,5504,5032,15911,20080,4018,21602,21419,7193,10595,9952,9597,9809,4619,4654,12213,14966,22227,4578,8638,8965,8726,7353,14181,7620,6433,13214,10623,3391,3977,6538,9061,7950,3560,5464,8250,5712,12116,9649,11863,10683,19714,18646,7125,4595,2538,11610,11922
5710,1802,2697,13541,14514,15977,10387,3291,9366,9002,6749,14820,13184,5558,2144,1878,5909,7849,2104,1933,0,6103,5532,5119,16369,20445,4216,21963,21819,7068,10532,9977,10047,10328,4395,4286,12642,15327,22571,5016,8781,9003,9005,7520,14628,7632,6803,13143,10449,2795,3993,6338,8947,8196,3813,4676,8250,5728,12285,9791,12305,11129,20181,19026,7768,4873,2369,11557,11970
1217,4383,3780,7751,8488,9997,4437,2812,3818,3737,2159,8738,7085,739,3960,4225,1524,2407,7374,6266,6103,0,889,1339,10507,14458,2307,15965,15851,965,4430,3885,4424,4807,1715,1833,6832,9382,16560,2205,2799,2928,3189,1713,8786,1583,1819,7048,4383,3320,2289,284,2849,2421,2750,2185,2170,723,6234,3768,6526,5415,14283,13059,3123,1923,3853,5456,5873
