TaskID,WaitTimeOrDetourTime
0,3.464000
1,0.000000
2,2.000000
3,0.000000
4,2.000000
5,0.000000
6,2.000000
7,0.000000
8,0.000000
9,0.000000
10,2.000000
11,0.000000
12,2.000000
13,0.000000
14,2.000000
15,0.000000
16,0.000000
17,0.000000
18,2.000000
19,0.000000
20,2.000000
21,0.000000
22,2.000000
23,0.000000
24,0.000000
25,0.000000
26,3.464000
27,9.511001
28,2.000000
29,0.000000
30,2.000000
31,0.000000
32,4.000000
33,5.468000
34,2.000000
35,0.000000
36,2.000000
37,0.000000
38,2.000000
39,0.000000
40,2.000000
41,0.000000
42,0.000000
43,0.000000
44,2.000000
45,1.222000
46,3.464000
47,0.000000
48,2.000000
49,0.000000
50,2.000000
51,2.000000
52,1.000000
53,0.819000
54,2.000000
55,0.000000
56,2.000000
57,0.000000
58,2.000000
59,0.000000
60,5.000000
61,3.655000
62,0.000000
63,0.000000
64,2.000000
65,0.000000
66,1.000000
67,1.046000
68,3.464000
69,3.292000
70,2.000000
71,0.000000
72,2.000000
73,0.000000
74,2.000000
75,0.000000
76,4.000000
77,6.173000
78,2.000000
79,0.000000
80,3.000000
81,0.000000
82,1.000000
83,0.000000
84,2.000000
85,0.994000
86,2.464000
87,6.080000
88,3.000000
89,8.503000
90,2.000000
91,0.000000
92,2.000000
93,0.000000
94,3.464000
95,6.392000
96,4.000000
97,8.871000
98,3.464000
99,1.464000
100,5.292000
101,0.000000
102,0.464000
103,0.000000
104,0.000000
105,0.000000
106,3.000000
107,6.536000
108,2.000000
109,7.763000
110,2.000000
111,0.000000
112,5.292000
113,7.875000
114,4.000000
115,7.211000
116,2.000000
117,0.000000
118,3.464000
119,0.000000
120,4.464000
121,0.303000
122,0.000000
123,0.000000
124,6.292000
125,0.000000
126,2.000000
127,0.000000
128,0.000000
129,0.000000
130,3.000000
131,0.000000
132,4.000000
133,0.000000
134,2.000000
135,7.811000
136,3.464000
137,0.000000
138,7.000000
139,9.211000
140,4.000000
141,0.961000
142,5.292000
143,0.000000
144,2.000000
145,2.502000
146,5.756000
147,9.865001
148,7.292000
149,9.464001
150,4.000000
151,0.000000
152,4.928000
153,7.717000
154,3.464000
155,0.000000
156,8.583000
157,3.128000
158,0.000000
159,0.000000
160,1.000000
161,0.000000
162,6.292000
163,0.173000
164,3.292000
165,0.000000
166,2.464000
167,3.089000
168,9.583000
169,2.741000
170,3.000000
171,0.000000
