RequestID,Cost,Reward,Wait_Time,Detour_Time
0,0.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000,0.000000
2,1.200000,52.500000,3.000000,0.000000
3,2.400000,62.250000,4.500000,0.000000
4,0.000000,0.000000,0.000000,0.000000
5,2.400000,72.000000,4.500000,0.000000
6,1.500000,0.000000,0.000000,0.000000
7,2.575000,45.000000,3.000000,0.000000
8,2.750000,0.000000,0.000000,0.000000
9,3.800000,71.250000,7.375000,0.000000
10,1.500000,18.000000,0.000000,0.000000
11,1.500000,0.000000,0.000000,0.000000
12,3.000000,0.000000,0.000000,0.000000
13,3.650000,89.250000,7.500000,0.000000
14,2.700000,27.000000,1.500000,0.000000
15,0.000000,0.000000,0.000000,0.000000
16,1.200000,70.500000,3.000000,0.000000
17,4.375000,0.000000,0.000000,0.000000
18,1.200000,9.000000,1.500000,0.000000
19,5.275000,70.500000,6.000000,0.000000
20,2.575000,18.000000,1.500000,0.000000
21,1.500000,52.500000,0.000000,0.000000
22,2.700000,27.000000,1.500000,0.000000
23,1.200000,18.000000,1.500000,0.000000
24,1.200000,18.000000,1.500000,0.000000
25,5.450000,35.250000,1.500000,0.000000
26,4.250000,9.000000,0.000000,0.000000
27,1.500000,9.000000,0.000000,0.000000
28,0.000000,35.250000,0.000000,0.000000
29,2.575000,27.000000,1.500000,0.000000
30,0.000000,18.000000,0.000000,0.000000
31,2.875000,0.000000,0.000000,0.000000
32,3.900000,61.500000,4.500000,0.000000
33,1.500000,45.000000,0.000000,0.000000
34,1.500000,9.000000,0.000000,0.000000
35,0.000000,52.500000,0.000000,0.000000
36,0.000000,35.250000,0.000000,0.000000
37,1.500000,27.000000,0.000000,0.000000
38,1.250000,0.000000,0.000000,0.000000
39,5.075000,27.000000,4.250000,0.000000
40,3.700000,35.250000,1.500000,0.000000
41,2.700000,35.250000,1.500000,0.000000
42,0.000000,18.000000,0.000000,0.000000
43,2.700000,9.000000,1.500000,0.000000
44,2.875000,0.000000,0.000000,0.000000
45,2.575000,79.500000,4.375000,0.000000
46,0.000000,0.000000,0.000000,0.000000
47,1.200000,54.000000,4.500000,0.000000
48,1.375000,0.000000,0.000000,0.000000
49,2.400000,27.000000,4.500000,0.000000
50,3.300000,0.000000,0.000000,0.000000
51,3.950000,52.500000,1.500000,0.000000
52,1.500000,80.250000,4.500000,18.000002
53,0.000000,52.500000,0.000000,0.000000
54,0.000000,0.000000,0.000000,0.000000
55,3.775000,36.000000,4.500000,0.000000
56,1.200000,27.000000,1.500000,0.000000
57,5.750000,0.000000,0.000000,0.000000
58,2.450000,36.000000,4.250000,0.000000
59,3.950000,18.000000,1.500000,0.000000
60,0.000000,0.000000,0.000000,0.000000
61,4.200000,18.000000,1.500000,0.000000
62,2.400000,63.000000,6.000000,0.000000
63,2.700000,18.000000,1.500000,0.000000
64,1.500000,35.250000,0.000000,0.000000
65,2.700000,45.000000,1.500000,0.000000
66,0.000000,0.000000,0.000000,0.000000
67,4.075000,45.000000,3.000000,0.000000
68,2.700000,36.000000,3.000000,0.000000
69,0.000000,35.250000,0.000000,0.000000
70,1.500000,0.000000,0.000000,0.000000
71,2.700000,27.000000,3.000000,0.000000
72,4.075000,35.250000,3.000000,0.000000
73,2.400000,64.500000,4.500000,0.000000
74,3.000000,0.000000,0.000000,0.000000
75,1.200000,27.000000,3.000000,0.000000
76,2.575000,36.000000,3.000000,0.000000
77,1.500000,45.000000,0.000000,0.000000
78,3.000000,0.000000,0.000000,0.000000
79,0.000000,0.000000,0.000000,0.000000
80,2.650000,70.500000,4.500000,0.000000
81,2.600000,9.000000,5.875000,0.000000
82,4.075000,9.000000,3.000000,0.000000
83,3.900000,53.250000,4.500000,0.000000
84,1.200000,35.250000,1.500000,0.000000
85,2.700000,27.000000,1.500000,0.000000
86,2.450000,27.000000,1.500000,0.000000
87,1.375000,0.000000,0.000000,0.000000
88,4.375000,9.000000,0.000000,0.000000
89,3.900000,97.500000,6.000000,0.000000
90,0.000000,55.500000,0.000000,0.000000
91,1.500000,9.000000,0.000000,0.000000
92,0.000000,45.000000,0.000000,0.000000
93,0.000000,0.000000,0.000000,0.000000
94,2.700000,27.000000,3.000000,0.000000
95,2.750000,18.000000,3.000000,0.000000
96,1.750000,35.250000,1.750000,0.000000
97,1.800000,35.250000,0.000000,0.000000
98,1.450000,44.250000,4.750000,0.000000
99,1.500000,0.000000,0.000000,0.000000
