tpep_pickup_datetime,pickup_longitude,pickup_latitude
2016/3/1 18:00,-73.9798584,40.78093338
2016/3/1 18:00,-73.9695816,40.76617813
2016/3/1 18:00,-73.96833038,40.76288223
2016/3/1 18:00,-73.97206116,40.75902176
2016/3/1 18:00,-73.97532654,40.75605774
2016/3/1 18:00,-73.99056244,40.73332977
2016/3/1 18:00,-73.98523712,40.74153137
2016/3/1 18:00,-73.96826935,40.76512146
2016/3/1 18:00,-73.99514008,40.72515869
2016/3/1 18:00,-73.78980255,40.64676666
2016/3/1 18:00,-73.95967865,40.77127838
2016/3/1 18:00,-73.97357178,40.76330948
2016/3/1 18:00,-73.98004913,40.76577377
2016/3/1 18:00,-73.99040222,40.72877502
2016/3/1 18:00,-73.96578217,40.77205658
2016/3/1 18:00,-73.97142792,40.76337051
2016/3/1 18:00,-73.9699707,40.75815964
2016/3/1 18:00,-73.97878265,40.75306702
2016/3/1 18:00,-73.94613647,40.77305603
2016/3/1 18:00,-73.98246765,40.73587418
2016/3/1 18:00,-74.00493622,40.7070694
2016/3/1 18:00,-73.98973083,40.73321152
2016/3/1 18:00,-73.98791504,40.77491379
2016/3/1 18:00,-73.98460388,40.72847748
2016/3/1 18:00,-73.96784973,40.79217148
2016/3/1 18:00,-73.99232483,40.74362564
2016/3/1 18:00,-73.97525787,40.75587845
2016/3/1 18:00,-73.98210144,40.73992157
2016/3/1 18:00,-73.99507141,40.74002838
2016/3/1 18:00,-73.99159241,40.75232315
2016/3/1 18:00,-73.95146942,40.77025604
2016/3/1 18:00,-73.97602844,40.76024246
2016/3/1 18:00,-73.95064545,40.78647614
2016/3/1 18:00,-73.9914856,40.77015686
2016/3/1 18:00,-73.97029877,40.75615311
2016/3/1 18:00,-73.9477005,40.77542114
2016/3/1 18:00,-73.94869995,40.77384949
2016/3/1 18:00,-74.01123047,40.71496582
2016/3/1 18:00,-73.99629211,40.7640686
2016/3/1 18:00,-73.97210693,40.79394913
2016/3/1 18:00,-73.98397064,40.75509644
2016/3/1 18:00,-73.97458649,40.75594711
2016/3/1 18:00,-74.01641846,40.70994186
2016/3/1 18:00,-73.98342133,40.76552963
2016/3/1 18:00,-73.9783783,40.75442123
2016/3/1 18:00,-73.99595642,40.74365234
2016/3/1 18:00,-74.00028992,40.73775101
2016/3/1 18:00,-73.98209381,40.76876831
2016/3/1 18:00,-73.97871399,40.75311279
2016/3/1 18:00,-73.97440338,40.75344467
2016/3/1 18:00,-73.96566772,40.77126312
2016/3/1 18:00,-73.97222137,40.78626633
2016/3/1 18:00,-73.95080566,40.79755402
2016/3/1 18:00,-74.00808716,40.72264862
2016/3/1 18:00,-73.97193146,40.74982071
2016/3/1 18:00,-73.98490906,40.7592659
2016/3/1 18:00,-73.96594238,40.79516983
