tpep_pickup_datetime,tpep_dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2016-03-01 18:00:00,2016-03-01 19:17:10,-74.0125732421875,40.70693588256836,-73.78664398193358,40.6445198059082
2016-03-01 18:00:00,2016-03-01 18:08:20,-73.9748764038086,40.7546501159668,-73.97291564941406,40.74692153930664
2016-03-01 18:00:00,2016-03-01 18:10:21,-73.95240783691406,40.810649871826165,-73.93580627441406,40.83198165893555
2016-03-01 18:00:00,2016-03-01 18:19:03,-73.99137878417967,40.75257873535156,-73.98773193359375,40.779422760009766
2016-03-01 18:00:00,2016-03-01 18:08:45,-73.97261047363281,40.79328918457031,-73.982421875,40.77149200439453
2016-03-01 18:00:00,2016-03-01 18:05:47,-73.94428253173827,40.77954864501953,-73.9619598388672,40.755130767822266
2016-03-01 18:00:00,2016-03-01 18:13:20,-73.9769515991211,40.764404296875,-73.98731994628906,40.74889755249024
2016-03-01 18:00:00,2016-03-01 18:09:53,-73.9872817993164,40.73309326171875,-73.97478485107422,40.751983642578125
2016-03-01 18:00:00,2016-03-01 18:05:53,-73.98050689697266,40.75925064086913,-73.99443054199219,40.76006317138672
2016-03-01 18:00:01,2016-03-01 18:23:25,-73.97599029541014,40.75665664672852,-73.99212646484375,40.74942779541016
2016-03-01 18:00:01,2016-03-01 18:12:32,-74.00334167480467,40.74735641479492,-73.98973846435547,40.73897552490234
2016-03-01 18:00:01,2016-03-01 18:12:58,-73.97791290283203,40.76348876953125,-73.97882843017578,40.78226089477539
2016-03-01 18:00:01,2016-03-01 18:04:35,-73.96672821044923,40.76142120361328,-73.95758056640625,40.7685661315918
2016-03-01 18:00:01,2016-03-01 18:06:02,-73.99765777587889,40.75161361694336,-73.99539947509764,40.7596092224121
2016-03-01 18:00:01,2016-03-01 18:15:16,-73.81177520751953,40.69426727294922,-73.81177520751953,40.69426727294922
2016-03-01 18:00:01,2016-03-01 18:23:55,-73.98993682861328,40.733840942382805,-73.97313690185547,40.764019012451165
2016-03-01 18:00:01,2016-03-01 18:05:56,-74.00347900390625,40.748779296875,-73.99183654785155,40.76472473144531
2016-03-01 18:00:02,2016-03-01 18:07:37,-73.97023773193358,40.76457977294922,-73.95478057861328,40.78853225708008
2016-03-01 18:00:02,2016-03-01 18:09:02,-73.98617553710938,40.74020767211913,-73.986572265625,40.72659683227539
2016-03-01 18:00:02,2016-03-01 18:10:19,-74.0154800415039,40.71450424194336,-74.00718688964845,40.73507690429688
2016-03-01 18:00:02,2016-03-01 18:07:48,-73.95899963378906,40.774810791015625,-73.96934509277344,40.76605987548828
2016-03-01 18:00:02,2016-03-01 18:11:09,-73.97864532470702,40.76439666748047,-73.95455932617188,40.76569747924805
2016-03-01 18:00:02,2016-03-01 18:08:17,-73.97553253173827,40.75496673583984,-73.96876525878906,40.764324188232415
2016-03-01 18:00:02,2016-03-01 18:12:43,-73.99591827392578,40.76437377929688,-74.00843811035155,40.7215576171875
2016-03-01 18:00:02,2016-03-01 18:13:14,-74.0019302368164,40.73946380615234,-73.97959136962889,40.733055114746094
2016-03-01 18:00:02,2016-03-01 18:09:13,-73.95419311523438,40.76654815673828,-73.95887756347656,40.780120849609375
2016-03-01 18:00:02,2016-03-01 18:04:37,-73.98506164550781,40.75202178955078,-73.980712890625,40.74776840209961
2016-03-01 18:00:03,2016-03-01 18:10:37,-73.97666168212889,40.73973846435546,-73.97533416748048,40.75123977661133
2016-03-01 18:00:03,2016-03-01 18:17:34,-73.98129272460938,40.68963623046875,-73.93809509277342,40.701614379882805
2016-03-01 18:00:03,2016-03-01 18:04:31,-73.97830200195312,40.742534637451165,-73.98555755615233,40.73683547973633
2016-03-01 18:00:03,2016-03-01 18:09:47,-73.98326873779298,40.755855560302734,-73.98493194580078,40.762519836425774
2016-03-01 18:00:03,2016-03-02 17:59:13,-73.955078125,40.7652473449707,-74.01158905029298,40.70418548583984
2016-03-01 18:00:03,2016-03-01 18:07:23,-73.94924163818358,40.776954650878906,-73.95870971679686,40.774940490722656
2016-03-01 18:00:04,2016-03-01 18:10:54,-73.99076843261719,40.734352111816406,-74.00737762451173,40.74323272705078
2016-03-01 18:00:04,2016-03-01 18:26:43,-73.97149658203125,40.75711441040039,-73.99011993408203,40.77613830566406
2016-03-01 18:00:04,2016-03-01 18:12:34,-73.97374725341797,40.76369857788086,-73.98217010498048,40.77825927734375
2016-03-01 18:00:04,2016-03-01 18:05:43,-73.97944641113281,40.78482818603516,-73.98985290527344,40.774459838867195
2016-03-01 18:00:04,2016-03-01 18:07:14,-73.95655822753906,40.77521896362305,-73.96829986572266,40.77074432373047
2016-03-01 18:00:04,2016-03-01 18:44:21,-73.7898178100586,40.64702987670898,-73.97947692871092,40.71379089355469
2016-03-01 18:00:05,2016-03-01 18:15:15,-73.9873046875,40.714351654052734,-73.9806137084961,40.744335174560554
2016-03-01 18:00:05,2016-03-01 18:04:46,-74.0098876953125,40.72068786621094,-74.00956726074217,40.726070404052734
2016-03-01 18:00:05,2016-03-01 18:13:48,-73.98260498046875,40.75719451904297,-73.97381591796875,40.782989501953125
2016-03-01 18:00:05,2016-03-01 18:24:38,-74.00237274169923,40.74477767944336,-73.96720123291014,40.801166534423835
2016-03-01 18:00:05,2016-03-01 18:09:15,-73.97234344482422,40.75246047973633,-73.97901916503906,40.76122283935546
2016-03-01 18:00:05,2016-03-01 18:14:19,-73.97310638427734,40.752628326416016,-73.98458099365233,40.762001037597656
