tpep_dropoff_datetime,dropoff_longitude,dropoff_latitude
2016/3/1 18:07,-73.97976685,40.7737236
2016/3/1 18:10,-73.98265076,40.76839447
2016/3/1 18:19,-73.98820496,40.73701477
2016/3/1 18:12,-73.96154022,40.76839828
2016/3/1 18:17,-73.99040985,40.74689865
2016/3/1 18:07,-73.98600006,40.74386215
2016/3/1 18:18,-73.94953156,40.77357101
2016/3/1 18:25,-74.00066376,40.73736954
2016/3/1 18:13,-73.98783875,40.7491188
2016/3/1 18:47,-73.95665741,40.76727676
2016/3/1 18:02,-73.95466614,40.77060318
2016/3/1 18:03,-73.97846222,40.76491165
2016/3/1 18:10,-73.99150085,40.74982834
2016/3/1 18:08,-74.00081635,40.7365303
2016/3/1 18:18,-73.92389679,40.7434845
2016/3/1 18:05,-73.96121216,40.77931595
2016/3/1 18:06,-73.97906494,40.75570297
2016/3/1 18:17,-74.00439453,40.70742798
2016/3/1 18:06,-73.95731354,40.76420212
2016/3/1 18:04,-73.98800659,40.737957
2016/3/1 19:01,-73.9463501,40.83831024
2016/3/1 18:14,-74.01378632,40.71762848
2016/3/1 18:12,-73.96769714,40.79764938
2016/3/1 18:25,-73.98510742,40.75539017
2016/3/1 18:02,-73.97433472,40.78738785
2016/3/1 18:04,-73.987854,40.74942398
2016/3/1 18:09,-73.98152161,40.76440811
2016/3/1 18:17,-73.95352173,40.77693939
2016/3/1 18:46,-73.99072266,40.66047668
2016/3/1 18:06,-74.00139618,40.74901962
2016/3/1 18:19,-73.98062134,40.74107742
2016/3/1 18:11,-73.96226501,40.77545929
2016/3/1 18:12,-73.97602081,40.78640366
2016/3/1 18:11,-73.97483063,40.77914047
2016/3/1 18:17,-73.98210144,40.77472687
2016/3/1 18:08,-73.9552536,40.78567886
2016/3/1 18:18,-73.97148895,40.76628876
2016/3/1 18:10,-74.008255,40.73272705
2016/3/1 18:08,-73.97868347,40.75263977
2016/3/1 18:11,-73.95120239,40.82025909
2016/3/1 18:21,-74.00765991,40.74066544
2016/3/1 18:18,-73.95587158,40.78184509
2016/3/1 18:16,-73.99433136,40.75587845
2016/3/1 18:11,-73.9605484,40.76971817
2016/3/1 18:25,-73.87991333,40.76937103
2016/3/1 18:04,-74.0056076,40.72709656
2016/3/1 18:14,-73.97917175,40.72367096
2016/3/1 18:20,-73.94869995,40.79666901
2016/3/1 18:07,-73.9677887,40.75560379
2016/3/1 18:13,-73.99116516,40.75021362
2016/3/1 18:09,-73.94907379,40.77503586
2016/3/1 18:02,-73.97837067,40.77793503
2016/3/1 18:06,-73.9465332,40.79062653
2016/3/1 18:10,-73.99494171,40.7501297
2016/3/1 18:07,-73.98207092,40.74013138
2016/3/1 18:10,-73.98412323,40.77389145
2016/3/1 18:05,-73.98077393,40.77492523
2016/3/1 18:12,-73.97979736,40.73491287
2016/3/1 18:19,-73.99211121,40.75349808
2016/3/1 18:18,-73.98581696,40.75188828
2016/3/1 18:16,-73.98670959,40.75525665
2016/3/1 18:09,-73.99306488,40.74648666
2016/3/1 18:27,-73.86148834,40.76812744
2016/3/1 18:08,-73.97916412,40.75523376
2016/3/1 18:09,-73.95372009,40.78131866
2016/3/1 18:06,-73.99081421,40.7338829
2016/3/1 18:00,-73.94573212,40.75169373
2016/3/1 18:27,-73.89107513,40.7389679
2016/3/1 18:18,-74.0042572,40.74788666
2016/3/1 18:08,-73.98069763,40.73799133
2016/3/1 18:04,-73.96968842,40.79779816
2016/3/1 18:13,-73.98539734,40.7383461
2016/3/1 18:58,-73.93730927,40.84869766
2016/3/1 18:12,-73.99011993,40.74192047
2016/3/1 18:05,-73.99543762,40.76464081
2016/3/1 18:06,-74.00561523,40.71934509
2016/3/1 18:04,-73.97501373,40.74769974
2016/3/1 18:08,-73.95775604,40.78216171
2016/3/1 18:19,-73.95319366,40.77951431
2016/3/1 18:29,-73.97686768,40.67590332
2016/3/1 18:12,-73.98834991,40.74105072
2016/3/1 18:16,-73.99827576,40.74121094
2016/3/1 18:05,-74.01074219,40.71668625
2016/3/1 18:20,-73.99906158,40.73452759
2016/3/1 18:09,-73.95619965,40.77557373
2016/3/1 18:43,-73.98368835,40.7309227
2016/3/1 18:23,-73.96795654,40.7579689
2016/3/1 18:19,-73.97360992,40.78961945
2016/3/1 18:05,-73.98934174,40.76257706
2016/3/1 18:16,-74.00741577,40.71992874
2016/3/1 18:03,-73.97423553,40.78856277
2016/3/1 18:13,-73.98768616,40.74293137
2016/3/1 18:20,-73.97720337,40.7293129
2016/3/1 18:13,-73.95320892,40.77684402
2016/3/1 18:05,-73.99536133,40.74404526
2016/3/1 18:29,-73.98004913,40.75104904
2016/3/1 18:20,-73.95917511,40.81686783
2016/3/1 18:12,-73.98326874,40.73167801
2016/3/1 18:11,-73.9756546,40.78707123
2016/3/1 18:02,-73.99162292,40.74225616
2016/3/1 18:22,-73.99846649,40.74003983
2016/3/1 18:07,-73.99092102,40.77045822
2016/3/1 18:04,-73.99977112,40.72460938
2016/3/1 18:22,-73.98355865,40.74689102
2016/3/1 18:16,-73.97157288,40.75940704
2016/3/1 18:09,-74.01009369,40.73363495
2016/3/1 18:10,-74.01585388,40.70672607
2016/3/1 18:19,-73.96731567,40.78818893
2016/3/1 18:11,-73.95329285,40.77958679
2016/3/1 18:12,-73.97264099,40.79608917
2016/3/1 18:14,-73.96294403,40.76644897
2016/3/1 18:05,-73.94281006,40.78831482
2016/3/1 18:09,-73.95556641,40.79961014
2016/3/1 18:11,-73.97667694,40.74987411
2016/3/1 18:06,-73.9601059,40.77056122
2016/3/1 18:08,-73.97798157,40.78311157
2016/3/1 18:05,-73.97290039,40.74884033
2016/3/1 18:07,-73.99137115,40.75003052
2016/3/1 18:11,-73.99143219,40.74570847
2016/3/1 18:13,-73.99640656,40.72522354
2016/3/1 18:18,-73.98355103,40.75871658
2016/3/1 18:02,-73.97040558,40.79574966
2016/3/1 18:14,-73.98561859,40.74653244
2016/3/1 18:09,-73.95780182,40.76861954
2016/3/1 18:07,-74.01434326,40.71694946
2016/3/1 18:37,-73.99607849,40.6933136
2016/3/1 18:20,-73.98349762,40.74451828
2016/3/1 18:13,-73.97798157,40.78638077
2016/3/1 18:21,-73.92519379,40.76094818
2016/3/1 18:13,-73.98779297,40.72111893
2016/3/1 18:07,-73.97833252,40.75099182
2016/3/1 18:05,-73.94443512,40.77569199
2016/3/1 18:07,-73.98084259,40.77428436
2016/3/1 18:17,-73.98532104,40.73191833
2016/3/1 18:10,-73.99485016,40.74480057
2016/3/1 18:05,-73.96668243,40.75278854
2016/3/1 18:07,-73.95230865,40.79814911
2016/3/1 18:14,-73.9683075,40.79418945
2016/3/1 18:06,-73.9890213,40.74406433
2016/3/1 18:09,-73.97731018,40.75854111
2016/3/1 18:04,-73.97370148,40.79262924
2016/3/1 18:21,-73.99789429,40.74109268
2016/3/1 18:15,-73.98052979,40.76436615
2016/3/1 18:43,-73.98589325,40.75814819
2016/3/1 18:10,-73.99825287,40.72472
2016/3/1 18:18,-73.97512817,40.7563591
2016/3/1 18:12,-73.98126221,40.74121094
2016/3/1 18:20,-73.9984436,40.72282028
2016/3/1 18:09,-73.9696579,40.75867081
