TaskID,FinishTime
0,0.000000
1,3.464120
2,0.000000
3,6.000040
4,0.000000
5,4.000000
6,0.000000
7,5.291520
8,0.000000
9,6.000040
10,0.000000
11,14.000080
12,0.000000
13,4.000040
14,0.000000
15,36.387001
16,0.000000
17,6.928240
18,0.000000
19,11.135601
20,0.000000
21,22.538960
22,0.000000
23,13.856480
24,0.000000
25,9.165199
26,0.000000
27,6.928240
28,2.000000
29,7.291520
30,0.000000
31,13.114960
32,0.000000
33,9.165199
34,1.000000
35,23.539001
36,1.000000
37,13.490080
38,1.000000
39,6.291520
40,3.000000
41,16.165239
42,3.000000
43,18.099762
44,3.000000
45,20.435680
46,3.000000
47,8.291520
48,3.000000
49,22.287399
50,1.000000
51,5.000040
52,1.000000
53,10.165199
54,1.000000
55,16.620600
56,1.000000
57,18.088120
58,1.000000
59,6.291520
60,1.000000
61,6.291520
62,3.000000
63,17.000080
64,1.000000
65,8.211161
66,3.000000
67,8.291520
68,3.000000
69,14.135601
70,2.000000
71,11.165199
72,2.000000
73,4.000000
74,2.000000
75,13.135601
76,2.000000
77,6.000040
78,2.000000
79,26.980160
80,4.000000
81,14.583080
82,2.000000
83,6.000040
84,4.000000
85,12.000040
86,2.000000
87,22.880722
88,4.000000
89,6.000000
90,2.000000
91,6.000040
92,2.000000
93,16.000080
94,4.000000
95,8.000040
96,4.000000
97,15.135601
98,3.000000
99,7.000040
100,2.000000
101,21.078880
102,3.000000
103,8.291520
104,5.000000
105,7.000000
106,5.000000
107,9.000040
108,4.000000
109,6.000000
110,3.000000
111,8.291520
112,3.000000
113,20.088120
114,3.000000
115,10.211161
116,3.000000
117,15.165600
118,3.000000
119,11.717840
120,3.000000
121,8.291520
122,3.000000
123,34.432640
124,3.000000
125,21.330399
126,5.000000
127,15.392361
128,3.000000
129,12.165199
130,3.000000
131,13.392361
132,4.000000
133,19.874599
134,6.000000
135,20.422279
136,6.000000
137,12.928240
138,6.000000
139,11.291519
140,6.000000
141,12.000040
142,4.000000
143,10.928240
144,4.000000
145,22.330399
146,4.000000
147,25.071442
148,4.000000
149,6.000000
150,4.000000
151,7.464120
152,6.000000
153,18.490080
154,4.000000
155,10.928240
156,6.000000
157,12.928240
158,4.000000
159,21.435680
160,4.000000
161,26.000122
162,5.000000
163,13.717840
164,7.000000
165,12.291519
166,5.000000
167,13.000040
168,5.000000
169,12.211161
170,5.000000
171,53.662445
172,5.000000
173,43.314720
174,5.000000
175,27.271202
176,5.000000
177,22.435680
178,5.000000
179,20.874599
180,5.000000
181,10.291520
182,5.000000
183,8.464120
184,5.000000
185,7.000000
186,7.000000
187,10.464120
188,6.000000
189,12.000040
190,8.000000
191,10.000000
192,6.000000
193,23.320602
194,8.000000
195,19.135601
196,6.000000
197,17.135601
198,6.000000
199,13.211161
200,6.000000
201,20.000080
202,6.000000
203,15.165199
204,8.000000
205,10.000000
206,8.000000
207,21.114960
208,8.000000
209,18.000080
210,6.000000
211,12.000040
212,8.000000
213,12.000040
214,6.000000
215,15.165199
216,6.000000
217,11.291519
218,9.464120
219,53.327843
220,8.000000
221,19.291559
222,6.000000
223,11.291519
224,7.000000
225,12.291519
226,7.000000
227,12.291519
228,7.000000
229,22.620560
230,7.000000
231,13.000040
232,7.000000
233,29.539001
234,9.000000
235,28.287399
236,9.000000
237,31.538960
238,7.000000
239,33.153561
240,7.000000
241,15.717840
242,7.000000
243,10.464120
244,9.000000
245,18.165199
246,8.000000
247,13.291519
248,7.000000
249,10.464120
250,7.000000
251,60.777679
252,8.000000
253,12.000040
254,10.000000
255,16.000040
256,8.000000
257,15.211161
258,8.000000
259,13.291519
260,10.000000
261,24.000080
262,8.000000
263,24.370800
264,8.000000
265,11.464120
266,8.000000
267,22.000080
268,10.000000
269,26.370800
270,10.000000
271,13.464119
272,10.000000
273,20.392361
274,10.000000
275,13.464119
276,8.000000
277,13.291519
278,8.000000
279,18.392361
280,10.000000
281,17.211161
282,8.000000
283,22.000080
284,8.000000
285,11.464120
286,8.000000
287,11.464120
288,11.000000
289,26.874599
290,12.000000
291,25.856480
292,11.000000
293,14.464119
294,9.000000
295,38.462036
296,11.000000
297,18.211121
298,11.000000
299,26.620598
300,9.000000
301,19.392361
302,9.000000
303,16.211161
304,9.000000
305,21.165600
306,11.000000
307,20.165199
308,9.000000
309,31.538960
310,11.000000
311,19.717840
312,9.000000
313,16.211161
314,9.000000
315,54.738640
316,9.000000
317,16.211161
318,11.000000
319,28.435680
320,12.000000
321,16.000040
322,12.000000
323,17.291519
324,12.000000
325,33.071442
326,12.000000
327,23.135601
328,12.000000
329,20.000040
330,12.000000
331,44.924362
332,12.000000
333,39.785080
334,12.000000
335,26.422279
336,10.000000
337,12.000000
338,10.000000
339,23.114960
340,10.000000
341,12.000000
342,12.000000
343,31.287399
344,10.000000
345,13.464119
346,11.000000
347,67.000320
348,13.000000
349,16.464119
350,11.000000
351,25.000080
352,11.000000
353,18.211121
354,14.464119
355,28.464199
356,11.000000
357,25.422279
358,13.000000
359,37.980118
360,13.000000
361,23.392361
362,11.000000
363,33.539001
364,11.000000
365,65.442963
366,13.000000
367,20.211121
368,11.000000
369,35.576561
370,11.000000
371,14.464119
372,11.000000
373,16.291519
374,13.000000
375,23.583080
376,11.000000
377,14.464119
378,12.000040
379,17.291559
380,12.000000
381,14.000000
382,14.000000
383,16.000000
384,14.000000
385,19.291519
386,12.000000
387,20.717840
388,12.000000
389,80.789963
390,14.000000
391,20.000040
392,12.000000
393,18.000040
394,12.000040
395,29.781641
396,12.000000
397,15.464119
398,14.000000
399,56.000244
400,14.000000
401,22.717840
402,14.000000
403,17.464119
404,12.000000
405,15.464119
406,12.000000
407,36.331200
408,12.000000
409,51.950195
410,13.000000
411,18.291519
412,13.000000
413,25.165600
414,13.000000
415,17.000040
416,13.000000
417,23.583080
418,15.000000
419,25.583080
420,14.000000
421,37.065239
422,15.000000
423,23.000040
424,15.000000
425,20.291519
426,13.000000
427,44.241196
428,15.000000
429,53.000244
430,13.000000
431,54.328239
432,15.000000
433,25.000038
434,16.000000
435,18.000000
436,14.000000
437,23.165199
438,14.000000
439,26.165600
440,16.000000
441,20.000040
442,14.000000
443,17.464119
444,14.000000
445,18.000000
446,16.000000
447,22.928240
448,16.000000
449,27.135601
450,14.000000
451,16.000000
452,14.000000
453,28.000080
454,14.000000
455,19.291519
456,14.000000
457,19.291519
458,14.000000
459,20.928240
460,16.000000
461,45.866562
462,16.000000
463,19.464119
464,17.000000
465,23.000040
466,15.000000
467,18.464119
468,17.000000
469,21.000040
470,16.464119
471,20.464119
472,17.000000
473,25.717842
474,15.000000
475,22.211121
476,15.000000
477,60.210922
478,15.000000
479,23.717840
480,16.000040
481,28.490080
482,17.000000
483,23.000040
484,15.000000
485,18.464119
486,16.000000
487,21.291519
488,15.000000
489,53.157837
490,18.291519
491,32.147999
492,17.000000
493,20.464119
494,18.000000
495,59.328239
496,16.000000
497,47.749199
498,16.000000
499,33.776482
500,16.000000
501,24.717842
502,18.000000
503,28.392361
504,16.000000
505,20.000040
506,18.211161
507,28.794241
508,18.000000
509,43.065239
510,18.000000
511,24.928240
512,18.000000
513,24.928240
514,16.000000
515,27.135601
516,16.000000
517,32.000080
518,18.000000
519,21.464119
520,16.000000
521,18.000000
522,16.000000
523,29.114960
524,17.000000
525,39.715759
526,17.000000
527,21.000000
528,18.000000
529,20.000000
530,20.464119
531,23.928238
532,19.000000
533,43.248840
534,19.000000
535,44.534439
536,17.000000
537,33.370800
538,19.000000
539,38.287437
540,19.000000
541,32.211197
542,17.000000
543,41.576561
544,17.000000
545,29.490082
546,19.000000
547,24.291519
