RequestID,Cost,Reward,Wait_Time,Detour_Time
0,0.000000,0.000000,0.000000,0.000000
1,0.000000,2.598090,0.000000,0.000000
2,0.000000,4.500030,0.000000,0.000000
3,0.000000,3.000000,0.000000,0.000000
4,0.000000,3.968640,0.000000,0.000000
5,0.000000,4.500030,0.000000,0.000000
6,0.000000,10.500060,0.000000,0.000000
7,0.000000,3.000030,0.000000,0.000000
8,0.000000,27.290251,0.000000,0.000000
9,0.000000,5.196180,0.000000,0.000000
10,0.000000,8.351700,0.000000,0.000000
11,0.000000,16.904221,0.000000,0.000000
12,0.000000,10.392360,0.000000,0.000000
13,0.000000,6.873900,0.000000,0.000000
14,0.000000,5.196180,0.000000,0.000000
15,0.000000,0.000000,0.000000,0.000000
16,0.000000,9.836220,0.000000,0.000000
17,0.000000,6.873900,0.000000,0.000000
18,0.000000,16.904249,0.000000,0.000000
19,0.000000,9.367559,0.000000,0.000000
20,0.000000,3.968640,0.000000,0.000000
21,0.000000,0.000000,0.000000,0.000000
22,0.000000,0.000000,0.000000,0.000000
23,0.000000,13.076760,0.000000,0.000000
24,0.000000,0.000000,0.000000,0.000000
25,0.000000,0.000000,0.000000,0.000000
26,0.000000,3.000030,0.000000,0.000000
27,0.000000,6.873900,0.000000,0.000000
28,0.000000,11.715450,0.000000,0.000000
29,0.000000,12.816090,0.000000,0.000000
30,0.000000,3.968640,0.000000,0.000000
31,0.000000,3.968640,0.000000,0.000000
32,0.000000,0.000000,0.000000,0.000000
33,0.000000,5.408370,0.000000,0.000000
34,0.000000,0.000000,0.000000,0.000000
35,0.100000,3.968640,0.250000,0.000000
36,0.000000,6.873900,0.000000,0.000000
37,0.000000,1.500000,0.000000,0.000000
38,0.000000,8.351700,0.000000,0.000000
39,0.000000,3.000030,0.000000,0.000000
40,0.000000,18.735119,0.000000,0.000000
41,0.000000,0.000000,0.000000,0.000000
42,0.000000,3.000030,0.000000,0.000000
43,0.000000,0.000000,0.000000,0.000000
44,0.000000,15.660540,0.000000,0.000000
45,0.000000,1.500000,0.000000,0.000000
46,0.000000,3.000030,0.000000,0.000000
47,0.000000,10.500060,0.000000,0.000000
48,0.000000,0.000000,0.000000,0.000000
49,0.000000,0.000000,0.000000,0.000000
50,0.000000,0.000000,0.000000,0.000000
51,0.700000,79.012802,1.875000,0.000000
52,0.000000,3.968640,0.000000,0.000000
53,0.000000,0.000000,0.000000,0.000000
54,0.000000,3.000030,0.000000,0.000000
55,0.000000,0.000000,0.000000,0.000000
56,0.000000,3.968640,0.000000,0.000000
57,0.000000,12.816090,0.000000,0.000000
58,0.000000,5.408370,0.000000,0.000000
59,0.000000,9.124200,0.000000,0.000000
60,0.000000,6.538380,0.000000,0.000000
61,0.000000,3.968640,0.000000,0.000000
62,0.000000,23.574480,0.000000,0.000000
63,0.000000,13.747801,0.000000,0.000000
64,0.000000,0.000000,0.000000,0.000000
65,0.000000,6.873900,0.000000,0.000000
66,0.833015,34.583340,1.125000,0.000000
67,0.000000,11.905951,0.000000,0.000000
68,0.000000,0.000000,0.000000,0.000000
69,0.000000,5.196180,0.000000,0.000000
70,0.000000,3.968640,0.000000,0.000000
71,0.000000,0.000000,0.000000,0.000000
72,0.000000,5.196180,0.000000,0.000000
73,0.000000,13.747801,0.000000,0.000000
74,0.000000,15.803579,0.000000,0.000000
75,0.000000,1.500000,0.000000,0.000000
76,0.000000,2.598090,0.000000,0.000000
77,0.000000,0.000000,0.000000,0.000000
78,0.000000,5.196180,0.000000,0.000000
79,0.000000,0.000000,0.000000,0.000000
